Date,Open,High,Low,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2024-08-01,64082.93,65377.54,63435.63,64730.23,66405.45,64666.33,1,5,-2.5227,0.0988,64582.76,63834.8,0.2283,1.4027
2024-08-01,63936.93,65228.59,63291.11,64582.76,66342.28,64582.76,2,7,-2.6522,0.0,64567.41,63721.93,0.0238,1.3509
2024-08-01,63921.74,65213.09,63276.06,64567.41,66342.28,64567.41,1,7,-2.6753,0.0,64274.35,63721.93,0.456,1.3268
2024-08-01,63519.09,64802.31,62877.49,64160.7,64765.96,64160.7,3,7,-0.9345,0.0,64420.62,63721.93,-0.4035,0.6886
2024-08-01,63456.74,64738.69,62815.76,64097.71,64765.96,64097.71,2,7,-1.0318,0.0,64420.62,63721.93,-0.5012,0.5897
2024-08-01,63196.45,64473.15,62558.1,63834.8,64765.96,63834.8,1,7,-1.4377,0.0,64481.81,63721.93,-1.0034,0.1771
2024-08-01,63084.71,64359.15,62447.49,63721.93,64730.23,63721.93,1,7,-1.5577,0.0,64481.81,64274.35,-1.1784,-0.8595
2024-08-01,63631.61,64917.1,62988.86,64274.35,64582.76,63721.93,1,6,-0.4775,0.8669,64481.81,64378.22,-0.3217,-0.1613
2024-08-01,63776.41,65064.83,63132.21,64420.62,64567.41,63721.93,1,5,-0.2273,1.0965,64775.58,64378.22,-0.548,0.0659
2024-08-01,63745.5,65033.29,63101.61,64389.39,64420.62,63721.93,6,4,-0.0485,1.0475,64863.73,64378.22,-0.7313,0.0174
2024-08-01,63836.99,65126.62,63192.17,64481.81,64481.81,63721.93,7,3,0.0,1.1925,64863.73,64378.22,-0.5888,0.1609
2024-08-01,63734.44,65022.0,63090.65,64378.22,64481.81,63721.93,6,2,-0.1606,1.0299,64863.73,63653.73,-0.7485,1.1382
2024-08-01,63810.74,65099.85,63166.19,64455.3,64481.81,63721.93,5,1,-0.0411,1.1509,64863.73,63039.61,-0.6297,2.2457
2024-08-01,64127.82,65423.33,63480.06,64775.58,64775.58,64274.35,7,1,0.0,0.7798,64863.73,62632.72,-0.1359,3.4213
2024-08-01,64215.1,65512.37,63566.46,64863.73,64863.73,64378.22,7,4,0.0,0.7542,64502.96,62632.72,0.5593,3.5621
2024-08-01,63857.93,65147.99,63212.9,64502.96,64863.73,64378.22,6,3,-0.5562,0.1938,63653.73,62632.72,1.3341,2.986
2024-08-01,63017.19,64290.27,62380.66,63653.73,64863.73,63653.73,5,7,-1.8655,0.0,63470.01,62632.72,0.2895,1.6302
